ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance.mi.,Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3224550,Bing,NA,4,2018-12-20 00:25:00,2018-12-20 04:25:00,40.01199,-82.99159,40.014967,-82.994139,0.246,Closed at Hudson Street - Road closed due to accident.,NA,North Fwy S,R,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,2018-12-20 00:51:00,39,35.7,67,29.9,10,SE,4.6,NA,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3172027,Bing,NA,3,2019-03-28 17:59:28,2019-03-28 18:28:04,38.15964,-121.26189,38.159083,-121.261877,0.038,At E Woodbridge Rd/Exit 268 - Accident. Lane blocked.,NA,CA-99 S,R,Acampo,San Joaquin,CA,95220,US,US/Pacific,KSCK,2019-03-28 17:55:00,60.1,NA,62,30.22,10,North,11.5,NA,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3185467,Bing,NA,2,2019-02-15 10:37:02,2019-02-15 14:37:02,45.67316,-120.8305,45.67129,-120.83593,0.292,At US-97/Exit 104 - Accident.,NA,I-84 W,R,Wasco,Sherman,OR,97065,US,US/Pacific,KDLS,2019-02-15 10:53:00,30,24.1,82,29.73,10,ESE,5.8,NA,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1488211,MapQuest,201,3,2018-12-31 08:53:28,2018-12-31 09:23:13,35.80386,-78.694069,NA,NA,0,Accident on I-440 Cliff Benson Beltline Eastbound at Wade Ave.,NA,Wade Ave,R,Raleigh,Wake,NC,27607,US,US/Eastern,KRDU,2018-12-31 08:51:00,52,NA,100,30.23,1,ESE,8.1,0.07,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1835712,MapQuest,201,3,2018-06-19 17:58:49,2018-06-19 18:28:22,41.650589,-72.672707,NA,NA,0,Right lane blocked due to accident on I-91 Southbound at Exit 23 West St.,NA,West St,R,Rocky Hill,Hartford,CT,06067,US,US/Eastern,KHFD,2018-06-19 17:53:00,82.9,NA,32,29.79,10,NNW,12.7,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1963195,MapQuest,201,3,2018-04-19 07:23:47,2018-04-19 07:52:42,37.702484,-121.740356,NA,NA,0,Right hand shoulder blocked due to accident on I-580 Westbound after Springtown Blvd.,NA,I-580 E,R,Livermore,Alameda,CA,94551,US,US/Pacific,KLVK,2018-04-19 07:53:00,43,NA,97,30.08,10,Calm,NA,NA,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1612551,MapQuest,201,3,2018-10-26 16:06:05,2018-10-26 16:50:53,32.852985,-79.987541,NA,NA,0,Accident on I-26 Westbound at Exit 215 SC-642 Dorchester Rd.,NA,Dorchester Rd,R,North Charleston,Charleston,SC,29405,US,US/Eastern,KCHS,2018-10-26 15:56:00,78.1,NA,87,29.59,10,SSW,11.5,0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1461246,MapQuest,201,2,2018-12-13 07:56:50,2018-12-13 08:26:37,28.52042,-81.358147,NA,NA,0,Accident on Hourglass Dr at Kaley Ave.,1894,Hourglass Dr,R,Orlando,Orange,FL,32806,US,US/Eastern,KORL,2018-12-13 07:53:00,60.1,NA,78,30.22,10,NE,3.5,NA,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-81772,MapQuest,201,3,2016-10-05 13:48:05,2016-10-05 14:17:32,32.932587,-117.241081,NA,NA,0,Right hand shoulder blocked due to accident on I-5 at Exits 33 33B Carmel Valley Rd.,NA,Carmel Valley Rd,R,San Diego,San Diego,CA,92130,US,US/Pacific,KNKX,2016-10-05 13:55:00,73.9,NA,50,29.88,10,West,6.9,NA,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3336210,Bing,NA,2,2018-02-28 18:28:43,2018-03-01 00:28:43,34.04217,-81.11559,34.04591,-81.11917,0.33,At St Andrews Rd/Exit 106 - Accident.,NA,I-26 W,R,Columbia,Lexington,SC,29210,US,US/Eastern,KCAE,2018-02-28 18:03:00,57,NA,100,30.02,4,East,5.8,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
